POP_ID,POPULATION,AREA,WATERBODY,ANALYSIS_YR,SPECIES,RUN_TYPE,NATURAL_ADULT_SPAWNERS,ESTIMATE_METHOD,ESTIMATE_CLASSIFICATION,ESTIMATE_STAGE,START_DTT,END_DTT,WATERSHED_CDE
46200,Bonaparte River (Lillooet) Coho,29F,BONAPARTE RIVER,2023,Coho,1,758,Resistivity Counter,TRUE ABUNDANCE (TYPE-1),FINAL,,,120-506800-00000-00000-0000-0000-000-000-000-000-000-000
44965,Clapperton Creek (Lillooet) Coho,29F,CLAPPERTON CREEK,2023,Coho,1,,Not Applicable,NO SURVEY THIS YEAR,FINAL,,,120-246600-46100-00000-0000-0000-000-000-000-000-000-000
46190,Coldwater River (Lillooet) Coho,29F,COLDWATER RIVER,2023,Coho,1,7943,Combined Methods,TRUE ABUNDANCE (TYPE-1),FINAL,,,120-246600-33700-00000-0000-0000-000-000-000-000-000-000
46210,Deadman River (Lillooet) Coho,29F,DEADMAN RIVER,2023,Coho,1,2710,Resistivity Counter,TRUE ABUNDANCE (TYPE-1),FINAL,,,120-714600-00000-00000-0000-0000-000-000-000-000-000-000
47213,Gates River (Lillooet) Coho,29F,GATES RIVER,2023,Coho,1,3032,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-3),FINAL,2023-10-24,2023-12-05,100-235900-99100-00000-0000-0000-000-000-000-000-000-000
128,Guichon Creek (Lilloet) Coho,29F,GUICHON CREEK,2023,Coho,FALL,,Not Applicable,NO SURVEY THIS YEAR,FINAL,,,120-246600-29600-00000-0000-0000-000-000-000-000-000-000
47159,Nahatlatch River (Lillooet) Coho,29F,NAHATLATCH RIVER,2023,Coho,1,5790,Peak Live * Expansion,RELATIVE ABUNDANCE (TYPE-4),FINAL,2023-11-16,2023-11-30,100-170100-00000-00000-0000-0000-000-000-000-000-000-000
46170,Nicola River (Lillooet) Coho,29F,NICOLA RIVER (DAM),2023,Coho,1,,Not Applicable,NO SURVEY THIS YEAR,FINAL,,,120-246600-00000-00000-0000-0000-000-000-000-000-000-000
46170,Nicola River (Lillooet) Coho,29F,NICOLA RIVER (DOT),2023,Coho,1,,Not Applicable,NO SURVEY THIS YEAR,FINAL,,,120-246600-00000-00000-0000-0000-000-000-000-000-000-000
47183,Portage Creek (Lillooet) Coho,29F,PORTAGE CREEK,2023,Coho,1,260,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-3),FINAL,2023-10-24,2023-11-28,100-235900-00000-00000-0000-0000-000-000-000-000-000-000
7779,Quilchena Creek (Lillooet) Coho,29F,QUILCHENA CREEK,2023,Coho,,,Not Applicable,NO SURVEY THIS YEAR,FINAL,,,120-246600-51000-00000-0000-0000-000-000-000-000-000-000
44539,Seton River (Lillooet) Coho,29F,SETON CHANNELS - UPPER AND LOWER,2023,Coho,,1397.925926,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-3),FINAL,2023-10-25,2023-12-06,100-235900-00000-00000-0000-0000-000-000-000-000-000-000
46180,Spius Creek (Lillooet) Coho,29F,SPIUS CREEK,2023,Coho,1,2971,Sonar-DIDSON,TRUE ABUNDANCE (TYPE-1),FINAL,,,120-246600-23400-00000-0000-0000-000-000-000-000-000-000
7771,Blue Lead Creek (Williams Lake) Coho,29G,BLUE LEAD CREEK,2023,Coho,,0,Not Applicable,RELATIVE ABUNDANCE (TYPE-4),FINAL,2023-11-06,2023-11-06,160-989300-00000-00000-0000-0000-000-000-000-000-000-000
46845,Chilko River (Williams Lake) Coho,29G,CHILKO RIVER,2023,Coho,1,3267,Peak Live * Expansion,RELATIVE ABUNDANCE (TYPE-4),FINAL,2023-11-09,2023-11-17,150-335700-00000-00000-0000-0000-000-000-000-000-000-000
7780,Hazeltine Creek (Williams Lake) Coho,29G,HAZELTINE CREEK,2023,Coho,,,Not Applicable,NO SURVEY THIS YEAR,FINAL,,,160-585700-00000-00000-0000-0000-000-000-000-000-000-000
46895,Horsefly River (Williams Lake) Coho,29G,HORSEFLY RIVER,2023,Coho,1,75,Peak Live * Expansion,RELATIVE ABUNDANCE (TYPE-4),FINAL,2023-10-17,2023-10-31,160-635400-00000-00000-0000-0000-000-000-000-000-000-000
