dataset_id,table_id,column_name,code_value,code_label,code_description,vocabulary_iri,term_iri,term_type
fraser-coho-workshop,escapement,AREA,29F,29F,"NuSEDS subdistrict code 29F. The official dictionary explains that subdistricts can differ from statistical areas, particularly for streams draining to the Fraser. Evidence: raw_data/official-nuseds-dictionary.csv: AREA; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: Which dated reference establishes the geographic extent and operational definition of subdistrict 29F?",,,
fraser-coho-workshop,escapement,AREA,29G,29G,"NuSEDS subdistrict code 29G. The official dictionary explains that subdistricts can differ from statistical areas, particularly for streams draining to the Fraser. Evidence: raw_data/official-nuseds-dictionary.csv: AREA; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: Which dated reference establishes the geographic extent and operational definition of subdistrict 29G?",,,
fraser-coho-workshop,escapement,AREA,29J,29J,"NuSEDS subdistrict code 29J. The official dictionary explains that subdistricts can differ from statistical areas, particularly for streams draining to the Fraser. Evidence: raw_data/official-nuseds-dictionary.csv: AREA; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: Which dated reference establishes the geographic extent and operational definition of subdistrict 29J?",,,
fraser-coho-workshop,escapement,AREA,29K,29K,"NuSEDS subdistrict code 29K. The official dictionary explains that subdistricts can differ from statistical areas, particularly for streams draining to the Fraser. Evidence: raw_data/official-nuseds-dictionary.csv: AREA; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: Which dated reference establishes the geographic extent and operational definition of subdistrict 29K?",,,
fraser-coho-workshop,escapement,SPECIES,Coho,Coho,Coho is the source fish-species designation; every row of this selected slice carries that value. The official field definition identifies SPECIES as the species of fish. Evidence: raw_data/official-nuseds-dictionary.csv: SPECIES; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: Which authoritative taxonomic reference and identifier should be used in later semantic mapping?,,,
fraser-coho-workshop,escapement,RUN_TYPE,1,1,A numeric run-type designation. The official dictionary explains that numeric labels were used in historical records to distinguish runs within a season when more specific timing was not documented; the digit does not itself supply a seasonal definition. Evidence: raw_data/official-nuseds-dictionary.csv: RUN_TYPE; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: What run does code 1 distinguish for each source population? Do not translate it to FALL or another named season without evidence.,,,
fraser-coho-workshop,escapement,RUN_TYPE,FALL,FALL,"A named run-timing label, FALL, as stored in the source. The official dictionary distinguishes descriptive timing labels from numeric labels used when detailed timing is undocumented; it supplies no date boundaries for FALL. Evidence: raw_data/official-nuseds-dictionary.csv: RUN_TYPE; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: What local timing or run definition applies to FALL for these records? Do not infer equivalence with numeric code 1.",,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Resistivity Counter,Resistivity Counter,"The source records Resistivity Counter as the estimate method. Its entry in the official dictionary is N/A, so that entry supplies no operational procedure definition. Evidence: raw_data/official-nuseds-dictionary.csv: ESTIMATE_METHOD; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: Which counter observations and estimation procedure generated the result? Obtain an applicable methods source.",,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Not Applicable,Not Applicable,The official dictionary describes this reporting label as replacing insufficient-information or addition/subtraction entries when associated with not-inspected or none-observed states. It is not a standalone enumeration procedure. Evidence: raw_data/official-nuseds-dictionary.csv: ESTIMATE_METHOD; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: Which condition applies to each record? Do not infer a zero or missing estimate from this label alone.,,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Combined Methods,Combined Methods,"The official dictionary describes estimates calculated for multiple survey methods, with a final estimate combining two or more estimate methods. Evidence: raw_data/official-nuseds-dictionary.csv: ESTIMATE_METHOD; raw_data/nuseds-fraser-coho-2023-2024.csv; source URL: https://api-proxy.edh-cde.dfo-mpo.gc.ca/catalogue/records/c48669a3-045b-400d-b730-48aafe8c5ee6/attachments/Data_Dictionary_NuSEDS_EN.csv Retrieved: 2026-09-08T16:50:39.167837+00:00 Caveat: Current official dictionary retrieved 2026-09-08; it may postdate the 2025 workbook used for this slice. Confirm historical/source-specific applicability where material. Open question: Which methods and combination rule were used for the particular source record?",,,
