dataset_id,table_id,column_name,column_label,column_description,column_role,value_type,required,unit_label,unit_iri,term_iri,term_type,property_iri,entity_iri,constraint_iri,statistical_modifier_iri
fraser-coho-workshop,escapement,POP_ID,POP_ID,Identifier of the NuSEDS population referenced by this source record. It repeats across years and sometimes within one year.,identifier,string,TRUE,,,,,,,,
fraser-coho-workshop,escapement,POPULATION,POPULATION,"Source population name. The official dictionary describes a legacy composite of stream name, subdistrict, species and run type; retain the full label without reparsing it into asserted facts.",attribute,string,,,,,,,,,
fraser-coho-workshop,escapement,AREA,AREA,"NuSEDS subdistrict code. The official dictionary says subdistricts can differ from statistical areas, especially in the Fraser; do not relabel this field PFMA.",categorical,string,,,,,,,,,
fraser-coho-workshop,escapement,WATERBODY,WATERBODY,Source name of the waterbody or portion bounding the population as represented on the source estimate document (SEN). It need not be a unique waterbody identifier.,attribute,string,,,,,,,,,
fraser-coho-workshop,escapement,ANALYSIS_YR,ANALYSIS_YR,Year for which the estimate is reported. The official dictionary states that contributing surveys can continue into the next calendar year.,temporal,integer,,,,,,,,,
fraser-coho-workshop,escapement,SPECIES,SPECIES,Source species designation for the fish represented by the record; all values in this selected slice are Coho.,categorical,string,,,,,,,,,
fraser-coho-workshop,escapement,RUN_TYPE,RUN_TYPE,"Source run-type category. Preserve the supplied code or label; this slice contains 1, FALL and blanks.",categorical,string,,,,,,,,,
fraser-coho-workshop,escapement,NATURAL_ADULT_SPAWNERS,NATURAL_ADULT_SPAWNERS,"Reported estimate for mature spawners excluding jacks, under the source field NATURAL_ADULT_SPAWNERS. The official definition does not establish a natural-origin restriction; preserve that question rather than asserting it.",measurement,number,,Individual,http://qudt.org/vocab/unit/INDIV,https://w3id.org/gcdfo/salmon#SpawnerAbundance,owl_class,https://w3id.org/smn/Abundance,https://w3id.org/smn/Population,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,ESTIMATE_METHOD,Source label for the method used to derive the estimate. Interpret each label using its own definition; some entries in the official dictionary have no substantive definition.,categorical,string,,,,,,,,,
fraser-coho-workshop,escapement,ESTIMATE_CLASSIFICATION,ESTIMATE_CLASSIFICATION,Source category describing the estimate and its accuracy/precision classification. NO SURVEY THIS YEAR means the stream was not inspected for that species that year according to the official dictionary.,categorical,string,,,,,,,,,
fraser-coho-workshop,escapement,ESTIMATE_STAGE,ESTIMATE_STAGE,Source publication/readiness stage of the SEN estimate. All rows in this slice are FINAL; this source status does not approve our workshop interpretation or publication.,categorical,string,,,,,,,,,
fraser-coho-workshop,escapement,START_DTT,START_DTT,"Date stream inspections began for this season's estimate, following the official dictionary. The derivation converts source dates to ISO representation.",temporal,date,,,,,,,,,
fraser-coho-workshop,escapement,END_DTT,END_DTT,"Date stream inspections ended for this season's estimate, following the official dictionary. Keep separate from the estimate year.",temporal,date,,,,,,,,,
fraser-coho-workshop,escapement,WATERSHED_CDE,WATERSHED_CDE,"Source hierarchical provincial watershed code. Preserve the complete text, separators and zeroes; the official dictionary distinguishes this legacy code from FWA_Watershed_CDE.",attribute,string,,,,,,,,,
