dataset_id,table_id,column_name,code_value,code_label,code_description,vocabulary_iri,term_iri,term_type
fraser-coho-workshop,escapement,AREA,29F,29F,Source label in AREA: 29F. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,AREA,29G,29G,Source label in AREA: 29G. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,AREA,29J,29J,Source label in AREA: 29J. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,AREA,29K,29K,Source label in AREA: 29K. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,SPECIES,Coho,Coho,Source label in SPECIES: Coho. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,RUN_TYPE,1,1,Source label in RUN_TYPE: 1. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,RUN_TYPE,FALL,FALL,Source label in RUN_TYPE: FALL. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Resistivity Counter,Resistivity Counter,Source label in ESTIMATE_METHOD: Resistivity Counter. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Not Applicable,Not Applicable,Source label in ESTIMATE_METHOD: Not Applicable. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Combined Methods,Combined Methods,Source label in ESTIMATE_METHOD: Combined Methods. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Area Under the Curve,Area Under the Curve,Source label in ESTIMATE_METHOD: Area Under the Curve. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Peak Live * Expansion,Peak Live * Expansion,Source label in ESTIMATE_METHOD: Peak Live * Expansion. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Sonar-DIDSON,Sonar-DIDSON,Source label in ESTIMATE_METHOD: Sonar-DIDSON. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Fixed Site Census,Fixed Site Census,Source label in ESTIMATE_METHOD: Fixed Site Census. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Sonar-ARIS,Sonar-ARIS,Source label in ESTIMATE_METHOD: Sonar-ARIS. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,ESTIMATE_METHOD,Fence,Fence,Source label in ESTIMATE_METHOD: Fence. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,ESTIMATE_CLASSIFICATION,TRUE ABUNDANCE (TYPE-1),TRUE ABUNDANCE (TYPE-1),Source label in ESTIMATE_CLASSIFICATION: TRUE ABUNDANCE (TYPE-1). Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,ESTIMATE_CLASSIFICATION,NO SURVEY THIS YEAR,NO SURVEY THIS YEAR,Source label in ESTIMATE_CLASSIFICATION: NO SURVEY THIS YEAR. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,ESTIMATE_CLASSIFICATION,RELATIVE ABUNDANCE (TYPE-3),RELATIVE ABUNDANCE (TYPE-3),Source label in ESTIMATE_CLASSIFICATION: RELATIVE ABUNDANCE (TYPE-3). Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,ESTIMATE_CLASSIFICATION,RELATIVE ABUNDANCE (TYPE-4),RELATIVE ABUNDANCE (TYPE-4),Source label in ESTIMATE_CLASSIFICATION: RELATIVE ABUNDANCE (TYPE-4). Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,ESTIMATE_CLASSIFICATION,RELATIVE ABUNDANCE (TYPE-5),RELATIVE ABUNDANCE (TYPE-5),Source label in ESTIMATE_CLASSIFICATION: RELATIVE ABUNDANCE (TYPE-5). Exact operational meaning is not established by the selected table; retain this source question for review.,,,
fraser-coho-workshop,escapement,ESTIMATE_STAGE,FINAL,FINAL,Source label in ESTIMATE_STAGE: FINAL. Exact operational meaning is not established by the selected table; retain this source question for review.,,,
