column_name,exercise_focus,source_description,working_definition,field_role,value_format,units,code_meanings,example_values,missingness,related_fields,evidence,status,open_question
POP_ID,yes,NuSEDS population identifier.,Identifier of the NuSEDS population referenced by this source record. It repeats across years and sometimes within one year.,identifier,preserve identifier as text,N/A (not a measurement field),N/A (not a categorical field; see working_definition and open_question for identifier or value interpretation),46200; 44965; 46190,No blank values in this source slice; this does not establish a universal requiredness rule.,POPULATION; WATERBODY; SPECIES; RUN_TYPE; ANALYSIS_YR,Source CSV; starter dictionary; current official DFO dictionary retrieved 2026-09-08 (may postdate 2025 workbook); see scientific-review-packet.md,draft working interpretation; scientific review pending,What identifies one source estimate record when population and year repeat?
POPULATION,no,Population name with local watershed context.,"Source population name. The official dictionary describes a legacy composite of stream name, subdistrict, species and run type; retain the full label without reparsing it into asserted facts.",attribute,text,N/A (not a measurement field),N/A (not a categorical field; see working_definition and open_question for identifier or value interpretation),Bonaparte River (Lillooet) Coho; Clapperton Creek (Lillooet) Coho; Coldwater River (Lillooet) Coho,No blank values in this source slice; this does not establish a universal requiredness rule.,POP_ID; WATERBODY; AREA; SPECIES; RUN_TYPE,Source CSV; starter dictionary; current official DFO dictionary retrieved 2026-09-08 (may postdate 2025 workbook); see scientific-review-packet.md,draft working interpretation; scientific review pending,Are all components and legacy spellings consistent for these records?
AREA,no,Pacific Fishery Management Area code for the population.,"NuSEDS subdistrict code. The official dictionary says subdistricts can differ from statistical areas, especially in the Fraser; do not relabel this field PFMA.",categorical attribute,text code,N/A (not a measurement field),"29F, 29G, 29J and 29K are NuSEDS subdistrict codes. See reference/code-definitions-working.csv where column_name=AREA for source evidence. Question: which dated reference defines each geographic extent?",29F; 29G; 29J,No blank values in this source slice; this does not establish a universal requiredness rule.,WATERBODY; POPULATION,Source CSV; starter dictionary; current official DFO dictionary retrieved 2026-09-08 (may postdate 2025 workbook); see scientific-review-packet.md,draft working interpretation; scientific review pending,"Which maintained reference defines the Fraser subdistrict values 29F, 29G, 29J and 29K?"
WATERBODY,yes,"Local stream, tributary, or river name used in the source workbook.",Source name of the waterbody or portion bounding the population as represented on the source estimate document (SEN). It need not be a unique waterbody identifier.,place attribute,text,N/A (not a measurement field),N/A (not a categorical field; see working_definition and open_question for identifier or value interpretation),BONAPARTE RIVER; CLAPPERTON CREEK; COLDWATER RIVER,No blank values in this source slice; this does not establish a universal requiredness rule.,POP_ID; POPULATION; WATERSHED_CDE,Source CSV; starter dictionary; current official DFO dictionary retrieved 2026-09-08 (may postdate 2025 workbook); see scientific-review-packet.md,draft working interpretation; scientific review pending,What spatial boundaries and name authority apply to each named portion?
ANALYSIS_YR,yes,Analysis year associated with the escapement estimate.,Year for which the estimate is reported. The official dictionary states that contributing surveys can continue into the next calendar year.,temporal dimension,four-digit year,N/A (not a measurement field),N/A (not a categorical field; see working_definition and open_question for identifier or value interpretation),2023; 2024,No blank values in this source slice; this does not establish a universal requiredness rule.,START_DTT; END_DTT; POP_ID; WATERBODY,Source CSV; starter dictionary; current official DFO dictionary retrieved 2026-09-08 (may postdate 2025 workbook); see scientific-review-packet.md,draft working interpretation; scientific review pending,Do any later uses require an explicit biological year basis beyond the source definition? Do not infer brood year.
SPECIES,yes,Species code from the NuSEDS source workbook (Coho in this slice).,Source species designation for the fish represented by the record; all values in this selected slice are Coho.,categorical attribute,text label,N/A (not a measurement field),Coho is the source fish-species designation. See reference/code-definitions-working.csv where column_name=SPECIES. Question: which authoritative taxon reference should support later mapping?,Coho,No blank values in this source slice; this does not establish a universal requiredness rule.,POP_ID; POPULATION,Source CSV; starter dictionary; current official DFO dictionary retrieved 2026-09-08 (may postdate 2025 workbook); see scientific-review-packet.md,draft working interpretation; scientific review pending,Which authoritative taxon identifier should represent the source label in later mapping?
RUN_TYPE,no,Run timing category from the NuSEDS source workbook.,"Source run-type category. Preserve the supplied code or label; this slice contains 1, FALL and blanks.",categorical attribute,text code or label,N/A (not a measurement field),1 is a numeric run distinction; FALL is a named timing label. Do not equate the two or infer date boundaries. See reference/code-definitions-working.csv where column_name=RUN_TYPE. Question: what population-specific run definitions apply? Blanks remain missing values.,1; FALL,15 blank values in the 173-row source; preserve blanks and do not infer their cause.,POP_ID; POPULATION; SPECIES,Source CSV; starter dictionary; current official DFO dictionary retrieved 2026-09-08 (may postdate 2025 workbook); see scientific-review-packet.md,draft working interpretation; scientific review pending,How should legacy code 1 and label FALL be interpreted and compared?
NATURAL_ADULT_SPAWNERS,yes,Estimated count of natural-origin adult spawners used for this official two-year Fraser coho slice.,"Reported estimate for mature spawners excluding jacks, under the source field NATURAL_ADULT_SPAWNERS. The official definition does not establish a natural-origin restriction; preserve that question rather than asserting it.",measurement,number; decimals permitted,Individuals (raw_data/source-column-dictionary.csv unit_label=Individual); confirm how estimates represent individuals across methods and classifications. Decimals do not imply a different unit.,N/A (not a categorical field; see working_definition and open_question for identifier or value interpretation),758; 7943; 2710,13 blank values in the 173-row source; preserve blanks and do not infer their cause.,POP_ID; WATERBODY; ANALYSIS_YR; SPECIES; ESTIMATE_METHOD; ESTIMATE_CLASSIFICATION; START_DTT; END_DTT,Source CSV; starter dictionary; current official DFO dictionary retrieved 2026-09-08 (may postdate 2025 workbook); see scientific-review-packet.md,draft working interpretation; scientific review pending,"What does natural qualify in this field, and which source establishes population scope, missing-value meaning and any origin restriction?"
ESTIMATE_METHOD,yes,Analytical method used to derive the estimate.,Source label for the method used to derive the estimate. Interpret each label using its own definition; some entries in the official dictionary have no substantive definition.,categorical method attribute,text label,N/A (not a measurement field),Observed labels: Resistivity Counter; Not Applicable; Combined Methods; Area Under the Curve; Peak Live * Expansion; Sonar-DIDSON; Fixed Site Census; Sonar-ARIS; Fence. See reference/code-definitions-working.csv where column_name=ESTIMATE_METHOD for each supported definition and source gap. Question: which record-specific procedures and additional method references apply?,Resistivity Counter; Not Applicable; Combined Methods,No blank values in this source slice; this does not establish a universal requiredness rule.,NATURAL_ADULT_SPAWNERS; ESTIMATE_CLASSIFICATION; START_DTT; END_DTT,Source CSV; starter dictionary; current official DFO dictionary retrieved 2026-09-08 (may postdate 2025 workbook); see scientific-review-packet.md,draft working interpretation; scientific review pending,Which additional method references are needed for labels whose official definitions are N/A or absent?
ESTIMATE_CLASSIFICATION,no,Classification assigned to the escapement estimate.,Source category describing the estimate and its accuracy/precision classification. NO SURVEY THIS YEAR means the stream was not inspected for that species that year according to the official dictionary.,categorical attribute,text label,N/A (not a measurement field),Observed labels: TRUE ABUNDANCE (TYPE-1); NO SURVEY THIS YEAR; RELATIVE ABUNDANCE (TYPE-3); RELATIVE ABUNDANCE (TYPE-4); RELATIVE ABUNDANCE (TYPE-5). The official dictionary describes an accuracy/precision scheme; NO SURVEY THIS YEAR means not inspected for that species/year. See reference/code-definitions-working.csv where column_name=ESTIMATE_CLASSIFICATION. Question: which guidance establishes type-specific criteria and justified comparisons?,TRUE ABUNDANCE (TYPE-1); NO SURVEY THIS YEAR; RELATIVE ABUNDANCE (TYPE-3),No blank values in this source slice; this does not establish a universal requiredness rule.,NATURAL_ADULT_SPAWNERS; ESTIMATE_METHOD,Source CSV; starter dictionary; current official DFO dictionary retrieved 2026-09-08 (may postdate 2025 workbook); see scientific-review-packet.md,draft working interpretation; scientific review pending,What comparisons are justified across classification types in this slice?
