column_name,exercise_focus,source_description,working_definition,field_role,value_format,units,code_meanings,example_values,missingness,related_fields,evidence,status,open_question
POP_ID,yes,NuSEDS population identifier.,,,,N/A (not a measurement field),N/A (not a categorical field; see working_definition and open_question for identifier or value interpretation),46200; 44965; 46190,No blank values in this source slice; this does not establish a universal requiredness rule.,,,to write and peer review,
POPULATION,no,Population name with local watershed context.,"Source population name. The official dictionary describes a legacy composite of stream name, subdistrict, species and run type; retain the full label without reparsing it into asserted facts.",attribute,text,N/A (not a measurement field),N/A (not a categorical field; see working_definition and open_question for identifier or value interpretation),Bonaparte River (Lillooet) Coho; Clapperton Creek (Lillooet) Coho; Coldwater River (Lillooet) Coho,No blank values in this source slice; this does not establish a universal requiredness rule.,POP_ID; WATERBODY; AREA; SPECIES; RUN_TYPE,Source CSV; starter dictionary; current official DFO dictionary retrieved 2026-09-08 (may postdate 2025 workbook); see scientific-review-packet.md,draft supplied description; read and peer review,Are all components and legacy spellings consistent for these records?
AREA,no,Pacific Fishery Management Area code for the population.,"NuSEDS subdistrict code. The official dictionary says subdistricts can differ from statistical areas, especially in the Fraser; do not relabel this field PFMA.",categorical attribute,text code,N/A (not a measurement field),"29F, 29G, 29J and 29K are NuSEDS subdistrict codes. See reference/code-definitions-working.csv where column_name=AREA for source evidence. Question: which dated reference defines each geographic extent?",29F; 29G; 29J,No blank values in this source slice; this does not establish a universal requiredness rule.,WATERBODY; POPULATION,Source CSV; starter dictionary; current official DFO dictionary retrieved 2026-09-08 (may postdate 2025 workbook); see scientific-review-packet.md,draft supplied description; read and peer review,"Which maintained reference defines the Fraser subdistrict values 29F, 29G, 29J and 29K?"
WATERBODY,yes,"Local stream, tributary, or river name used in the source workbook.",,,,N/A (not a measurement field),N/A (not a categorical field; see working_definition and open_question for identifier or value interpretation),BONAPARTE RIVER; CLAPPERTON CREEK; COLDWATER RIVER,No blank values in this source slice; this does not establish a universal requiredness rule.,,,to write and peer review,
ANALYSIS_YR,yes,Analysis year associated with the escapement estimate.,,,,N/A (not a measurement field),N/A (not a categorical field; see working_definition and open_question for identifier or value interpretation),2023; 2024,No blank values in this source slice; this does not establish a universal requiredness rule.,,,to write and peer review,
SPECIES,yes,Species code from the NuSEDS source workbook (Coho in this slice).,,,,N/A (not a measurement field),Coho is the source fish-species designation. See reference/code-definitions-working.csv where column_name=SPECIES. Question: which authoritative taxon reference should support later mapping?,Coho,No blank values in this source slice; this does not establish a universal requiredness rule.,,,to write and peer review,
RUN_TYPE,no,Run timing category from the NuSEDS source workbook.,"Source run-type category. Preserve the supplied code or label; this slice contains 1, FALL and blanks.",categorical attribute,text code or label,N/A (not a measurement field),1 is a numeric run distinction; FALL is a named timing label. Do not equate the two or infer date boundaries. See reference/code-definitions-working.csv where column_name=RUN_TYPE. Question: what population-specific run definitions apply? Blanks remain missing values.,1; FALL,15 blank values in the 173-row source; preserve blanks and do not infer their cause.,POP_ID; POPULATION; SPECIES,Source CSV; starter dictionary; current official DFO dictionary retrieved 2026-09-08 (may postdate 2025 workbook); see scientific-review-packet.md,draft supplied description; read and peer review,How should legacy code 1 and label FALL be interpreted and compared?
NATURAL_ADULT_SPAWNERS,yes,Estimated count of natural-origin adult spawners used for this official two-year Fraser coho slice.,,,,Individuals (raw_data/source-column-dictionary.csv unit_label=Individual); confirm how estimates represent individuals across methods and classifications. Decimals do not imply a different unit.,N/A (not a categorical field; see working_definition and open_question for identifier or value interpretation),758; 7943; 2710,13 blank values in the 173-row source; preserve blanks and do not infer their cause.,,,to write and peer review,
ESTIMATE_METHOD,yes,Analytical method used to derive the estimate.,,,,N/A (not a measurement field),Observed labels: Resistivity Counter; Not Applicable; Combined Methods; Area Under the Curve; Peak Live * Expansion; Sonar-DIDSON; Fixed Site Census; Sonar-ARIS; Fence. See reference/code-definitions-working.csv where column_name=ESTIMATE_METHOD for each supported definition and source gap. Question: which record-specific procedures and additional method references apply?,Resistivity Counter; Not Applicable; Combined Methods,No blank values in this source slice; this does not establish a universal requiredness rule.,,,to write and peer review,
ESTIMATE_CLASSIFICATION,no,Classification assigned to the escapement estimate.,Source category describing the estimate and its accuracy/precision classification. NO SURVEY THIS YEAR means the stream was not inspected for that species that year according to the official dictionary.,categorical attribute,text label,N/A (not a measurement field),Observed labels: TRUE ABUNDANCE (TYPE-1); NO SURVEY THIS YEAR; RELATIVE ABUNDANCE (TYPE-3); RELATIVE ABUNDANCE (TYPE-4); RELATIVE ABUNDANCE (TYPE-5). The official dictionary describes an accuracy/precision scheme; NO SURVEY THIS YEAR means not inspected for that species/year. See reference/code-definitions-working.csv where column_name=ESTIMATE_CLASSIFICATION. Question: which guidance establishes type-specific criteria and justified comparisons?,TRUE ABUNDANCE (TYPE-1); NO SURVEY THIS YEAR; RELATIVE ABUNDANCE (TYPE-3),No blank values in this source slice; this does not establish a universal requiredness rule.,NATURAL_ADULT_SPAWNERS; ESTIMATE_METHOD,Source CSV; starter dictionary; current official DFO dictionary retrieved 2026-09-08 (may postdate 2025 workbook); see scientific-review-packet.md,draft supplied description; read and peer review,What comparisons are justified across classification types in this slice?
